"PaperID","IndividualID","Virus_ICTV","Host_Upham","adult_mass_g","Dose_amount","Dose_unit","Dose_mass","Route_type"
1,"1_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"2_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"3_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"4_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"5_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"6_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"7_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"8_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
1,"9_1","Yokose virus","Rousettus_leschenaultii",96.565,1e+07,"TCID50",103557.189457878,"Injection (body)"
2,"1_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"2_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"3_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"4_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"5_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"6_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"7_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"8_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"9_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"10_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"11_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"12_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"13_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"14_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"15_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Injection (body)"
2,"16_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Oronasal"
2,"17_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Oronasal"
2,"18_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Oronasal"
2,"19_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Oronasal"
2,"20_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Oronasal"
2,"21_2","Lyssavirus caucasicus","Eptesicus_fuscus",17.195,501187.233627272,"Mouse LD50",29147.2656951016,"Oronasal"
3,"1_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"2_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"3_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"4_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"5_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"6_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"7_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"8_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
3,"9_3","Lyssavirus lagos","Eidolon_helvum",280.43,3162.27766016838,"TCID50",11.2765312561722,"Injection (brain)"
4,"1_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"2_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"3_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"4_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"5_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"6_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"7_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"8_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"9_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"10_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"11_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"12_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"13_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"14_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"15_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"16_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"17_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"18_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"19_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"20_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"21_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"22_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"23_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"24_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"25_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"26_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
4,"27_4","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Injection (body)"
5,"1_5","Chikungunya virus","Pteropus_giganteus",824.85,3162277.66016838,"Unknown",3833.76087793948,"Injection (body)"
5,"2_5","Chikungunya virus","Pteropus_giganteus",824.85,3162277.66016838,"Unknown",3833.76087793948,"Injection (body)"
5,"3_5","Chikungunya virus","Pteropus_giganteus",824.85,3162277.66016838,"Unknown",3833.76087793948,"Injection (body)"
5,"4_5","Chikungunya virus","Pteropus_giganteus",824.85,3162277.66016838,"Unknown",3833.76087793948,"Injection (body)"
5,"5_5","Chikungunya virus","Pteropus_giganteus",824.85,NA,NA,NA,"Natural"
5,"6_5","Chikungunya virus","Pteropus_giganteus",824.85,3162.27766016838,"Unknown",3.83376087793948,"Injection (body)"
5,"7_5","Chikungunya virus","Pteropus_giganteus",824.85,3162.27766016838,"Unknown",3.83376087793948,"Injection (body)"
5,"8_5","Chikungunya virus","Pteropus_giganteus",824.85,3162.27766016838,"Unknown",3.83376087793948,"Injection (body)"
5,"9_5","Chikungunya virus","Pteropus_giganteus",824.85,3162.27766016838,"Unknown",3.83376087793948,"Injection (body)"
5,"10_5","Chikungunya virus","Pteropus_giganteus",824.85,NA,NA,NA,"Natural"
5,"11_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
5,"12_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
5,"13_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
5,"14_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
5,"15_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
5,"16_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
5,"17_5","Dengue virus","Pteropus_giganteus",824.85,10000,"Unknown",12.1234163787355,"Injection (body)"
6,"1_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Injection (body)"
6,"2_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Injection (body)"
6,"3_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Injection (body)"
6,"4_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Injection (body)"
6,"5_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Injection (body)"
6,"6_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Natural"
6,"7_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Natural"
6,"8_6","Lyssavirus khujand","Eptesicus_fuscus",17.195,19952.6231496888,"Mouse LD50",1160.37354752479,"Natural"
6,"9_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Injection (body)"
6,"10_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Injection (body)"
6,"11_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Injection (body)"
6,"12_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Injection (body)"
6,"13_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Natural"
6,"14_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Natural"
6,"15_6","Lyssavirus aravan","Eptesicus_fuscus",17.195,7943.28234724281,"Mouse LD50",461.953029790219,"Natural"
6,"16_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"17_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"18_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"19_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"20_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"21_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"22_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"23_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"24_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,50118.7233627273,"Mouse LD50",2914.72656951016,"Injection (body)"
6,"25_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
6,"26_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
6,"27_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
6,"28_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
6,"29_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
6,"30_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
6,"31_6","Lyssavirus irkut","Eptesicus_fuscus",17.195,NA,NA,NA,"Natural"
8,"1_8","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"2_8","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"3_8","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"4_8","Marburg marburgvirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"5_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"6_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"7_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"8_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"9_8","Zaire ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"10_8","Zaire ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"11_8","Zaire ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"12_8","Zaire ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"13_8","Bundibugyo ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"14_8","Bundibugyo ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"15_8","Bundibugyo ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"16_8","Bundibugyo ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"17_8","Tai Forest ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"18_8","Tai Forest ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"19_8","Tai Forest ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"20_8","Tai Forest ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"21_8","Reston ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"22_8","Reston ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"23_8","Reston ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"24_8","Reston ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"25_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"26_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"27_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"28_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"29_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"30_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"31_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"32_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"33_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"34_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"35_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"36_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"37_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"38_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
8,"39_8","Sudan ebolavirus","Rousettus_aegyptiacus",134,10000,"TCID50",74.6268656716418,"Natural"
9,"1_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"2_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"3_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"4_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"5_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"6_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"7_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"8_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"9_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
9,"10_9","Lyssavirus rabies","Antrozous_pallidus",22,13000,"Mouse LD50",590.909090909091,"Injection (body)"
10,"1_10","Lyssavirus rabies","Artibeus_lituratus",46.1,300,"FFU",6.50759219088937,"Injection (body)"
10,"2_10","Lyssavirus rabies","Artibeus_lituratus",46.1,300,"FFU",6.50759219088937,"Injection (body)"
10,"3_10","Lyssavirus rabies","Artibeus_lituratus",46.1,300,"FFU",6.50759219088937,"Injection (body)"
10,"4_10","Lyssavirus rabies","Artibeus_lituratus",46.1,207549.291275681,"FFU",4502.15382376748,"Injection (body)"
10,"5_10","Lyssavirus rabies","Artibeus_lituratus",46.1,207549.291275681,"FFU",4502.15382376748,"Injection (body)"
10,"6_10","Lyssavirus rabies","Artibeus_lituratus",46.1,207549.291275681,"FFU",4502.15382376748,"Injection (body)"
10,"7_10","Lyssavirus rabies","Artibeus_lituratus",46.1,207549.291275681,"FFU",4502.15382376748,"Injection (body)"
10,"8_10","Lyssavirus rabies","Artibeus_lituratus",46.1,207549.291275681,"FFU",4502.15382376748,"Injection (body)"
10,"9_10","Lyssavirus rabies","Artibeus_lituratus",46.1,207549.291275681,"FFU",4502.15382376748,"Injection (body)"
10,"10_10","Lyssavirus rabies","Artibeus_lituratus",46.1,300,"FFU",6.50759219088937,"Injection (body)"
10,"11_10","Lyssavirus rabies","Artibeus_lituratus",46.1,300,"FFU",6.50759219088937,"Injection (body)"
10,"12_10","Lyssavirus rabies","Artibeus_lituratus",46.1,300,"FFU",6.50759219088937,"Injection (body)"
10,"13_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"14_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"15_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"16_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"17_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"18_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"19_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"20_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"21_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"22_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"23_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"24_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"25_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"26_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"27_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"28_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (body)"
10,"29_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (brain)"
10,"30_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (brain)"
10,"31_10","Lyssavirus rabies","Artibeus_lituratus",46.1,20754.9291275681,"FFU",450.215382376748,"Injection (brain)"
