Host	HostOrder	Pathogen	pmid	title	abs	review_flag
acomys cahirinus	Rodentia	rift valley fever phlebovirus	22493102	The role of wild mammals in the maintenance of Rift Valley fever virus.	"Rift Valley fever virus (RVFV) is a zoonotic arbovirus affecting primarily domestic ruminants and humans. Numerous vector species are known or implicated in the transmission of RVFV. The role of mammals in the maintenance of RVFV, and the existence of a wild mammal reservoir in the epidemiologic cycle of RVFV, remain largely unknown. Our objective is to present a detailed review of studies undertaken on RVFV, often associated with wild mammals, with the aim of focusing future research on potential reservoirs of the virus. Natural and experimental infections related to RVFV in several mammalian orders, including Artiodactyla, Chiroptera, Rodentia, Primata (nonhuman), Perissodactyla, Carnivora, Proboscidea, Erinaceomorpha, and Lagomorpha, are reviewed; the first four orders have received the greatest attention. The possible role of wild ruminants, especially African buffalo (Syncerus caffer), is also discussed. Conflicting results have been published concerning rodents but, based on the literature, the likely candidate species include the African genera Arvicanthis and Micaelamys and the widely introduced roof rat (Rattus rattus). Members of the orders Chiroptera and Rodentia should receive greater attention associated with new research programs. For the other orders mentioned above, few data are available. We are unaware of any investigation concerning the orders Afrosoricida and Soricomorpha, which are represented in the geographic area of RVFV and can be abundant. As a first step to resolve the question of wild mammals as a reservoir of RVFV, serologic and virologic surveys should be promoted during epizootic periods to document infected wild animals and, in the case of positive results, extended to interepidemic periods to explore the role of wild animals as possible reservoirs."	1
acomys cahirinus	Rodentia	west nile virus	23212739	West Nile virus associations in wild mammals: a synthesis.	"Exposures to West Nile virus (WNV) have been documented in a variety of wild mammals in both the New and Old Worlds. This review tabulates at least 100 mammal species with evidence of WNV exposure. Many of these exposures were detected in free-ranging mammals, while several were noted in captive individuals. In addition to exposures, this review discusses experimental infections in terms of the potential for reservoir competence of select wild mammal species. Overall, few experimental infections have been conducted on wild mammals. As such, the role of most wild mammals as potential amplifying hosts for WNV is, to date, uncertain. In most instances, experimental infections of wild mammals with WNV have resulted in no or low-level viremia. Some recent studies have indicated that certain species of tree squirrels (Sciurus spp.), eastern chipmunks (Tamias striatus), and eastern cottontail rabbits (Sylvilagus floridanus) develop viremia sufficient for infecting some mosquito species. Certain mammalian species, such as tree squirrels, mesopredators, and deer have been suggested as useful species for WNV surveillance. In this review article, the information pertaining to wild mammal associations with WNV is synthesized."	1
acomys dimidiatus	Rodentia	west nile virus	23212739	West Nile virus associations in wild mammals: a synthesis.	"Exposures to West Nile virus (WNV) have been documented in a variety of wild mammals in both the New and Old Worlds. This review tabulates at least 100 mammal species with evidence of WNV exposure. Many of these exposures were detected in free-ranging mammals, while several were noted in captive individuals. In addition to exposures, this review discusses experimental infections in terms of the potential for reservoir competence of select wild mammal species. Overall, few experimental infections have been conducted on wild mammals. As such, the role of most wild mammals as potential amplifying hosts for WNV is, to date, uncertain. In most instances, experimental infections of wild mammals with WNV have resulted in no or low-level viremia. Some recent studies have indicated that certain species of tree squirrels (Sciurus spp.), eastern chipmunks (Tamias striatus), and eastern cottontail rabbits (Sylvilagus floridanus) develop viremia sufficient for infecting some mosquito species. Certain mammalian species, such as tree squirrels, mesopredators, and deer have been suggested as useful species for WNV surveillance. In this review article, the information pertaining to wild mammal associations with WNV is synthesized."	1
aethomys kaiseri	Rodentia	west nile virus	23212739	West Nile virus associations in wild mammals: a synthesis.	"Exposures to West Nile virus (WNV) have been documented in a variety of wild mammals in both the New and Old Worlds. This review tabulates at least 100 mammal species with evidence of WNV exposure. Many of these exposures were detected in free-ranging mammals, while several were noted in captive individuals. In addition to exposures, this review discusses experimental infections in terms of the potential for reservoir competence of select wild mammal species. Overall, few experimental infections have been conducted on wild mammals. As such, the role of most wild mammals as potential amplifying hosts for WNV is, to date, uncertain. In most instances, experimental infections of wild mammals with WNV have resulted in no or low-level viremia. Some recent studies have indicated that certain species of tree squirrels (Sciurus spp.), eastern chipmunks (Tamias striatus), and eastern cottontail rabbits (Sylvilagus floridanus) develop viremia sufficient for infecting some mosquito species. Certain mammalian species, such as tree squirrels, mesopredators, and deer have been suggested as useful species for WNV surveillance. In this review article, the information pertaining to wild mammal associations with WNV is synthesized."	1
ammospermophilus nelsoni	Rodentia	western equine encephalitis virus	4426699	Experimental infection with western equine encephalomyelitis virus in wild rodents indigenous to Kern County, California.	"Six species of rodents from Kern County, California, were inoculated subcutaneously with western equine encephalomyelitis (WEE) virus to determine their susceptibility to infection and their potential as natural hosts. Ammospermophilus nelsoni, Citellus beecheyi, Dipodomys heermanni, Dipodomys nitratoides, Peromyscus maniculatus, and Sciurus griseus were readily infected. Infection was usually fatal in Dipodomys species, C. beecheyi, and S. griseus, but was clinically inapparent in other species. Viremic responses varied greatly in magnitude and duration in different species and with different viral strains. Viremic animals that survived developed high titers of hemagglutination-inhibiting antibody. Hemagglutination-inhibiting and neutralizing antibodies persisted at high titers for at least 8 to 58 weeks after infection, except in P. maniculatus. If animals died during or shortly after the viremic phase of infection, the virus usually was recoverable from numerous organs. Long-term survival of virus could not be demonstrated in A. nelsoni and Dipodomys species. It is concluded that A. nelsoni and P. maniculatus are not important natural hosts of WEE virus; they are susceptible to infection and develop antibodies, but serological surveys of the same species rarely reveal evidence of infection. S. griseus, D. heermanni, D. nitratoides, and possibly C. beecheyi are aberrant hosts of WEE virus since most of them died when infected. Two species of ticks that are ectoparasitic on rodents in Kern County were evaluated as vectors of WEE virus. Dermacentor parumapertus failed to become infected after feeding on viremic hosts, and Ornithodorus parkeri became infected but failed to transmit virus."	0
apodemus agrarius	Rodentia	hantaan orthohantavirus	24670	Lee HW, Lee PW, and Johnson KM (1978). Isolation of the etiologic agent of Korean Hemorrhagic Fever. The Journal of Infectious Diseases 137:298-308.	"Lung tissues from 73 rodents (Apodemus agrarius coreae) gave specific immunofluorescent reactions when they reacted with sera from patients convalescing from Korean hemorrhagic fever. Similar staaining was observed in the lungs of A. agrarius inoculated with acute-phase sera obtained from two patients with this disease. The unidentified agent was successfully propagated in adult A. agrarius through eight passages representing a cumulative dilution of greater than 10(-17). Experimentally inoculated rodents developed specific fluorescent antigen in the lung, kidney, liver, parotid glands, and bladder. Organs, especially lungs, were positive beginning 10 days and continuing through 69 days after inoculation. The agent could not be cultivated in several types of cell cultures nor in laboratory animals. No fluorescence was observed when infected A. agrarius lung tissues were reacted with antisera to Marburg virus, Ebola virus, and serval arenaviruses. Diagnostic increases in immunofluorescent antibodies occurred in 113 of 116 severe and 11 of 34 milder cases of clinically suspected Korean hemorrhagic fever. Antibodies were present during the first week of symptoms, reached a peak at the end of the second week, and persisted for up to 14 years. Convalescent-phase sera from four persons suffering a similar disease in the Soviet Union were also positive for antibodies."	0
apodemus agrarius	Rodentia	hantaan orthohantavirus	2861296	Experimental infection with Puumala virus, the etiologic agent of nephropathia epidemica, in bank voles (Clethrionomys glareolus).	"Subclinical chronic infections characterized by transient viremia, prolonged virus shedding in oropharyngeal secretions and feces, and virus persistence in tissues (particularly lung) developed in laboratory-bred weanling bank voles (Clethrionomys glareolus) inoculated intramuscularly with Puumala virus (strain Hällnäs), the etiologic agent of nephropathia epidemica. Viral antigen, as evidence by granular fluorescence, was detected in the lungs, liver, spleen, pancreas, salivary glands, and small intestine. Infectious virus was found in the lungs from 14 to 270 days postinoculation, and feces and urine collected 35 to 130 days postinoculation were regularly and sporadically infectious, respectively. Horizontal transmission coincided with virus shedding in oropharyngeal secretions. Suckling voles also developed asymptomatic persistent infections after intracerebral inoculation, and histopathological changes were absent despite widespread infection. Our data resemble findings in Apodemus agrarius experimentally infected with Hantaan virus, the prototype virus of hemorrhagic fever with renal syndrome, suggesting that the mechanisms of maintenance and transmission of Puumala and Hantaan viruses are similar in their respective wild-rodent hosts."	0
apodemus agrarius	Rodentia	hantaan orthohantavirus	2869749	Pathogenesis of experimental Hantaan virus infection in laboratory rats.	"Weanling Fischer rats inoculated intramuscularly with Hantaan virus (strain 76-118) developed subclinical infections characterized by transient viremia and shedding of virus in saliva, persistence of virus in lung, pancreas, spleen and liver, and development of fluorescent and neutralizing antibodies in serum with immune complex deposition in lung. Viremia and virus shedding in saliva occurred 10 to 13 days after inoculation. Horizontal intracage transmission of infection occurred between 35 and 63 days post-inoculation, long after disappearance of virus in oropharyngeal secretions and blood. Multiple attempts to demonstrate infectious virus in feces and urine during this period were unsuccessful. The inability to detect virus in urine samples of experimentally infected rats may have resulted from intermittent or low-titered viruria. This contrasts sharply with the prolonged high-titered viruria reported in striped field mice (Apodemus agrarius) infected with Hantaan virus, suggesting differences in the mode(s) of virus transmission in nature."	0
apodemus agrarius	Rodentia	hantaan orthohantavirus	6116436	Intraspecific transmission of Hantaan virus, etiologic agent of Korean hemorrhagic fever, in the rodent Apodemus agrarius.	"Experimental parameters of infection and intraspecific transmission of Hantaan virus, the etiologic agent of Korean hemorrhagic fever, in Apodemus agrarius rodents were determined. Mice inoculated by the intramuscular route experienced viremia for about 1 week beginning on day 7. After 3 weeks, immunofluorescent and neutralizing antibodies were present and no mouse ever developed signs of acute illness. Virus was recovered from lung, kidney, salivary gland, and liver, and virus excretion in urine, saliva, and feces occurred from about day 10 through day 360 (urine) post-inoculation. Antigen, but not infectious virus, was persistent in lung tissue for as long as 1 year. Horizontal contact infection occurred among cage-mates regardless of sexual pairing up to 360 days after infection and no evidence for participation of ectoparasitic arthropods in such transmission was obtained."	0
apodemus agrarius	Rodentia	hantaan orthohantavirus	6127366	Isolation of Hantaan virus, the etiologic agent of Korean hemorrhagic fever, from wild urban rats.	"Urban rats captured in Seoul and four nearby Korean cities were found to have immunofluorescent antibodies reactive with Hantaan virus, the etiologic agent of Korean hemorrhagic fever (KHF). Serum antibodies were detected in 13% from 477 Rattus norvegicus and 11% of 47 Rattus rattus. Hantaan viral antigen was found in pulmonary tissues of 42 animals, and Hantaan virus was recovered from 23 rats, all but two of which were R. norvegicus. Wistar rats were qualitatively much more sensitive than Apodemus agrarius rodents for isolation of virus from tissues of wild rats. Wistar rats inoculated with one of these strains had virus in lung and spleen for at least 75 days. These results document the existence of an urban cycle for Hantaan virus, which had been suspected on the basis of the occurrence of sporadic urban cases in humans of KHF, and suggest that Rattus-borne Hantaan virus may be widely distributed in urban centers."	0
