"Host","Host_Upham"
"addax nasomaculatus","Addax nasomaculatus"
"aepyceros melampus","Aepyceros melampus"
"alcelaphus buselaphus","Alcelaphus buselaphus"
"alces alces","Alces alces"
"alces americanus","Alces americanus"
"ammotragus lervia","Ammotragus lervia"
"antidorcas marsupialis","Antidorcas marsupialis"
"antilocapra americana","Antilocapra americana"
"antilope cervicapra","Antilope cervicapra"
"axis axis","Axis axis"
"axis porcinus","Axis porcinus"
"babyrousa babyrussa","Babyrousa babyrussa"
"balaena mysticetus","Balaena mysticetus"
"balaenoptera acutorostrata","Balaenoptera acutorostrata"
"balaenoptera borealis","Balaenoptera borealis"
"balaenoptera physalus","Balaenoptera physalus"
"beatragus hunteri","Beatragus hunteri"
"bison bison","Bison bison"
"bison bonasus","Bison bonasus"
"blastocerus dichotomus","Blastocerus dichotomus"
"bos frontalis","Bos frontalis"
"bos gaurus","Bos gaurus"
"bos grunniens","Bos grunniens"
"bos indicus","Bos indicus"
"bos javanicus","Bos javanicus"
"bos mutus","Bos mutus"
"bos primigenius","Bos primigenius"
"bos taurus","Bos taurus"
"boselaphus tragocamelus","Boselaphus tragocamelus"
"bubalus bubalis","Bubalus arnee"
"bubalus carabanensis","Bubalus arnee"
"budorcas taxicolor","Budorcas taxicolor"
"camelus bactrianus","Camelus bactrianus"
"camelus dromedarius","Camelus dromedarius"
"capra aegagrus","Capra aegagrus"
"capra caucasica","Capra caucasica"
"capra hircus","Capra hircus"
"capra ibex","Capra ibex"
"capra nubiana","Capra nubiana"
"capra pyrenaica","Capra pyrenaica"
"capreolus capreolus","Capreolus capreolus"
"capricornis crispus","Capricornis crispus"
"capricornis sumatraensis","Capricornis sumatraensis"
"cephalophus callipygus","Cephalophus callipygus"
"cephalophus dorsalis","Cephalophus dorsalis"
"cephalophus leucogaster","Cephalophus leucogaster"
"cephalophus niger","Cephalophus niger"
"cephalophus nigrifrons","Cephalophus nigrifrons"
"cephalophus rufilatus","Cephalophus rufilatus"
"cephalophus silvicultor","Cephalophus silvicultor"
"cephalophus weynsi","Cephalophus weynsi"
"cephalophus zebra","Cephalophus zebra"
"cervus elaphus","Cervus elaphus"
"cervus nippon","Cervus nippon"
"connochaetes gnou","Connochaetes gnou"
"connochaetes taurinus","Connochaetes taurinus"
"dama dama","Dama dama"
"damaliscus lunatus","Damaliscus lunatus"
"damaliscus pygargus","Damaliscus pygargus"
"delphinapterus leucas","Delphinapterus leucas"
"delphinus capensis","Delphinus capensis"
"delphinus delphis","Delphinus delphis"
"elaphodus cephalophus","Elaphodus cephalophus"
"elaphurus davidianus","Elaphurus davidianus"
"eschrichtius robustus","Eschrichtius robustus"
"eudorcas thomsonii","Eudorcas thomsonii"
"feresa attenuata","Feresa attenuata"
"gazella dorcas","Gazella dorcas"
"gazella gazella","Gazella gazella"
"gazella subgutturosa","Gazella subgutturosa"
"giraffa camelopardalis","Giraffa camelopardalis"
"globicephala macrorhynchus","Globicephala macrorhynchus"
"globicephala melas","Globicephala melas"
"grampus griseus","Grampus griseus"
"hemitragus jemlahicus","Hemitragus jemlahicus"
"hexaprotodon liberiensis","Choeropsis liberiensis"
"hippopotamus amphibius","Hippopotamus amphibius"
"hippotragus equinus","Hippotragus equinus"
"hippotragus niger","Hippotragus niger"
"hydropotes inermis","Hydropotes inermis"
"hylochoerus meinertzhageni","Hylochoerus meinertzhageni"
"indopacetus pacificus","Indopacetus pacificus"
"kobus ellipsiprymnus","Kobus ellipsiprymnus"
"kobus kob","Kobus kob"
"kobus leche","Kobus leche"
"kobus megaceros","Kobus megaceros"
"kogia breviceps","Kogia breviceps"
"lagenodelphis hosei","Lagenodelphis hosei"
"lagenorhynchus acutus","Lagenorhynchus acutus"
"lagenorhynchus albirostris","Lagenorhynchus albirostris"
"lagenorhynchus obliquidens","Lagenorhynchus obliquidens"
"lagenorhynchus obscurus","Lagenorhynchus obscurus"
"lama glama","Lama glama"
"lama guanicoe","Lama guanicoe"
"litocranius walleri","Litocranius walleri"
"madoqua kirkii","Madoqua kirkii"
"madoqua saltiana","Madoqua saltiana"
"mazama americana","Mazama americana"
"mazama gouazoupira","Mazama gouazoubira"
"mazama nana","Mazama nana"
"muntiacus muntjak","Muntiacus muntjak"
"muntiacus reevesi","Muntiacus reevesi"
"nanger granti","Nanger granti"
"odocoileus hemionus","Odocoileus hemionus"
"odocoileus virginianus","Odocoileus virginianus"
"okapia johnstoni","Okapia johnstoni"
"orcinus orca","Orcinus orca"
"oreamnos americanus","Oreamnos americanus"
"oreotragus oreotragus","Oreotragus oreotragus"
"oryx beisa","Oryx beisa"
"oryx dammah","Oryx dammah"
"oryx gazella","Oryx gazella"
"oryx leucoryx","Oryx leucoryx"
"ourebia ourebi","Ourebia ourebi"
"ovibos moschatus","Ovibos moschatus"
"ovis ammon","Ovis ammon"
"ovis aries","Ovis aries"
"ovis canadensis","Ovis canadensis"
"ovis dalli","Ovis dalli"
"ovis orientalis","Ovis orientalis"
"ozotoceros bezoarticus","Ozotoceros bezoarticus"
"pecari tajacu","Pecari tajacu"
"peponocephala electra","Peponocephala electra"
"phacochoerus aethiopicus","Phacochoerus aethiopicus"
"phacochoerus africanus","Phacochoerus africanus"
"philantomba maxwellii","Philantomba maxwellii"
"philantomba monticola","Philantomba monticola"
"phocoena phocoena","Phocoena phocoena"
"phocoena spinipinnis","Phocoena spinipinnis"
"phocoenoides dalli","Phocoenoides dalli"
"physeter catodon","Physeter macrocephalus"
"porcula salvania","Porcula salvania"
"potamochoerus larvatus","Potamochoerus larvatus"
"potamochoerus porcus","Potamochoerus porcus"
"procapra gutturosa","Procapra gutturosa"
"pseudois nayaur","Pseudois nayaur"
"pseudorca crassidens","Pseudorca crassidens"
"pudu puda","Pudu puda"
"rangifer tarandus","Rangifer tarandus"
"raphicerus campestris","Raphicerus campestris"
"raphicerus sharpei","Raphicerus sharpei"
"redunca arundinum","Redunca arundinum"
"redunca fulvorufula","Redunca fulvorufula"
"redunca redunca","Redunca redunca"
"rucervus duvaucelii","Rucervus duvaucelii"
"rupicapra pyrenaica","Rupicapra pyrenaica"
"rupicapra rupicapra","Rupicapra rupicapra"
"rusa alfredi","Rusa alfredi"
"rusa timorensis","Rusa timorensis"
"rusa unicolor","Rusa unicolor"
"saiga tatarica","Saiga tatarica"
"sotalia guianensis","Sotalia guianensis"
"stenella coeruleoalba","Stenella coeruleoalba"
"stenella frontalis","Stenella frontalis"
"sus barbatus","Sus barbatus"
"sus celebensis","Sus celebensis"
"sus scrofa","Sus scrofa"
"sus verrucosus","Sus verrucosus"
"sylvicapra grimmia","Sylvicapra grimmia"
"syncerus caffer","Syncerus caffer"
"tragelaphus angasii","Tragelaphus angasii"
"tragelaphus eurycerus","Tragelaphus eurycerus"
"tragelaphus imberbis","Tragelaphus imberbis"
"tragelaphus oryx","Tragelaphus oryx"
"tragelaphus scriptus","Tragelaphus scriptus"
"tragelaphus spekii","Tragelaphus spekii"
"tragelaphus strepsiceros","Tragelaphus strepsiceros"
"tragulus javanicus","Tragulus javanicus"
"tursiops aduncus","Tursiops aduncus"
"tursiops truncatus","Tursiops truncatus"
"vicugna pacos","Vicugna pacos"
"vicugna vicugna","Vicugna vicugna"
"acinonyx jubatus","Acinonyx jubatus"
"ailuropoda melanoleuca","Ailuropoda melanoleuca"
"ailurus fulgens","Ailurus fulgens"
"arctocephalus australis","Arctocephalus australis"
"arctocephalus forsteri","Arctocephalus forsteri"
"arctocephalus galapagoensis","Arctocephalus galapagoensis"
"atilax paludinosus","Atilax paludinosus"
