Host_reported,Host_NCBI,Host_NCBI_TaxID,harmonized_rank,Host_Upham
A. a. coreae,Apodemus agrarius,39030,species,Apodemus agrarius
A. a. jejuensis,Apodemus agrarius,39030,species,Apodemus agrarius
A. a. ningpoensis,Apodemus agrarius,39030,species,Apodemus agrarius
Apodemus flavicollis,Apodemus flavicollis,54292,species,Apodemus flavicollis
Artibeus lituratus,Artibeus lituratus,27634,species,Artibeus lituratus
Apodemus peninsulae,Apodemus peninsulae,105297,species,Apodemus peninsulae
Apodemus speciosus,Apodemus speciosus,105296,species,Apodemus speciosus
Acomys cahirinus,Acomys cahirinus,10068,species,Acomys cahirinus
Aethomys,Aethomys,61151,genus,NA
Aethomys chrysophilus,Aethomys chrysophilus,121561,species,Aethomys chrysophilus
Aethomys namaquensis,Micaelamys namaquensis,472707,species,Aethomys namaquensis
Aethomys namaquensis,Micaelamys namaquensis,472707,species,Aethomys namaquensis
Albino mice,NA,NA,NA,NA
Ammospermophilus nelsoni,Ammospermophilus nelsoni,2502157,species,Ammospermophilus nelsoni
Antrozous pallidus,Antrozous pallidus,9440,species,Antrozous pallidus
Antrozous pallidus pallidus,Antrozous pallidus,9440,species,Antrozous pallidus
Apodemus agrarius,Apodemus agrarius,39030,species,Apodemus agrarius
Apodemus agrarius coreae,Apodemus agrarius,39030,species,Apodemus agrarius
Apodemus agrarius jejudoica,Apodemus agrarius,39030,species,Apodemus agrarius
Apodemus agrarius Jejuensis,Apodemus agrarius,39030,species,Apodemus agrarius
Apodemus flavicollis,Apodemus flavicollis,54292,species,Apodemus flavicollis
Apodemus sylvaticus,Apodemus sylvaticus,10129,species,Apodemus sylvaticus
Artibeus intermedius,Artibeus lituratus,27634,species,Artibeus lituratus
Artibeus jamaicensis,Artibeus jamaicensis,9417,species,Artibeus jamaicensis
Artibeus lituratus,Artibeus lituratus,27634,species,Artibeus lituratus
Artibeus planirostris trinitatis,Artibeus planirostris,40230,species,Artibeus planirostris
Arvicanthis niloticus,Arvicanthis niloticus,61156,species,Arvicanthis niloticus
Baiomys musculus,Baiomys musculus,213557,species,Baiomys musculus
Barbastella barbastellus,Barbastella barbastellus,59449,species,Barbastella barbastellus
Callomys callosus,Calomys callosus,56210,species,Calomys callosus
Carollia perspicillata,Carollia perspicillata,40233,species,Carollia perspicillata
Carollia subrufa,Carollia subrufa,138697,species,Carollia subrufa
Castor canadensis,Castor canadensis,51338,species,Castor canadensis
Cavies,Caviidae,10139,family,NA
Chaerephon plicatus,Chaerephon plicatus,478698,species,Chaerephon plicatus
Citellus beecheyi,Otospermophilus beecheyi,34862,species,Otospermophilus beecheyi
Citellus citellus,Spermophilus citellus,9997,species,Spermophilus citellus
Citellus columbianus columbianus,Urocitellus columbianus,50862,species,Urocitellus columbianus
Citellus fulvus,Spermophilus fulvus,99841,species,Spermophilus fulvus
Citellus lateralis tescorum,Callospermophilus lateralis,76772,species,Callospermophilus lateralis
Cittellus tridecemlineatus,Ictidomys tridecemlineatus,43179,species,Ictidomys tridecemlineatus
Clethrionomys glareolus,Myodes glareolus,447135,species,Myodes glareolus
Cricetomys gambianus,Cricetomys gambianus,10085,species,Cricetomys gambianus
Cricetulus griseus,Cricetulus barabensis,329629,species,Cricetulus barabensis
Cynomys ludovicianus,Cynomys ludovicianus,45480,species,Cynomys ludovicianus
Cynopterus sphinx,Cynopterus sphinx,9400,species,Cynopterus sphinx
Dasyprocta Aguti,Dasyprocta leporina,42152,species,Dasyprocta leporina
Deer mouse (Peromyscus sp.),Peromyscus,10040,genus,NA
Desmodus rotundus,Desmodus rotundus,9430,species,Desmodus rotundus
Desmodus rotundus murinus,Desmodus rotundus,9430,species,Desmodus rotundus
Dipodomys heermanni,Dipodomys heermanni,10018,species,Dipodomys heermanni
Dipodomys nitratoides,Dipodomys nitratoides,323374,species,Dipodomys nitratoides
Dormice,Gliridae,30650,family,NA
Eidolon helvum,Eidolon helvum,77214,species,Eidolon helvum
Epomophorus wahlbergi,Epomophorus wahlbergi,58067,species,Epomophorus wahlbergi
Eptesicus capensis,Laephotis capensis,110938,species,Neoromicia capensis
Eptesicus fuscus,Eptesicus fuscus,29078,species,Eptesicus fuscus
Eptesicus fuscus fuscus,Eptesicus fuscus,29078,species,Eptesicus fuscus
Eptesicus serotinus,Eptesicus serotinus,59452,species,Eptesicus serotinus
Erethizon dorsatum,Erethizon dorsatum,34844,species,Erethizon dorsatum
Eutamias amoenus,Tamias amoenus,64679,species,Tamias amoenus
Eutamias spp.,Tamias,13712,genus,NA
Funisciurus anerythrus,Funisciurus anerythrus,1235483,species,Funisciurus anerythrus
Gerbillus,Gerbillus,10186,genus,NA
Glis glis,Glis glis,41261,species,Glis glis
Hystrix indica,Hystrix indica,192883,species,Hystrix indica
Lasiurus borealis,Lasiurus borealis,258930,species,Lasiurus borealis
Lemmus lemmus,Lemmus lemmus,79949,species,Lemmus lemmus
Lemmus sibiricus,Lemmus sibiricus,84769,species,Lemmus sibiricus
Lemniscomys,Lemniscomys,54110,genus,NA
Lemniscomys griselda,Lemniscomys griselda,472710,species,Lemniscomys griselda
Liomys salvini,Heteromys salvini,348155,species,Liomys salvini
Marmota monax,Marmota monax,9995,species,Marmota monax
