Virus_reported,Virus_ICTV,Virus_NCBI_TaxID,Note,non_ICTV_Genus
Aravan virus,Lyssavirus aravan,211977,,
Aujeszky's disease virus,Suid alphaherpesvirus 1,10345,,
Australian bat lyssavirus,Lyssavirus australis,90961,,
Avian Influenza Virus H3N6,Influenza A virus,11320,,
Avian Influenza Virus H3N8,Influenza A virus,11320,,
Avian Influenza Virus H4N6,Influenza A virus,11320,,
Avian Influenza Virus H4N8,Influenza A virus,11320,,
Avian Influenza Virus H6N2,Influenza A virus,11320,,
Bat Influenza A Virus H18N11,Influenza A virus,11320,,
Bat lyssavirus Aravan,Lyssavirus aravan,211977,,
Bundibugyo ebolavirus,Bundibugyo ebolavirus,565995,,
Bunyamwera,Bunyamwera orthobunyavirus,1933179,,
Chikungunya virus,Chikungunya virus,37124,,
Classical swine fever virus,Pestivirus C,2170082,,
Cocal virus,Cocal vesiculovirus,1972572,,
Colorado tick fever virus,Colorado tick fever coltivirus,2748762,,
Congo Basin Monkey pox virus,Monkeypox virus,10244,,
Dengue virus,Dengue virus,12637,,
Dobrava virus,Dobrava-Belgrade orthohantavirus,1980467,,
Eastern encephalitis virus,Eastern equine encephalitis virus,11021,,
Eastern equine encephalomyelitis virus,Eastern equine encephalitis virus,11021,,
Ebola virus variant Mayinga,Zaire ebolavirus,186538,,
Ebola Zaire virus Zaire-95,Zaire ebolavirus,186538,,
Entebbe bat salivary gland,Entebbe bat virus,64283,,
Eptesicus I virus,Lyssavirus rabies,11292,,
European bat lyssavirus type 1,European bat 1 lyssavirus,57482,,
European bat lyssavirus type 1a,European bat 1 lyssavirus,57482,,
European bat lyssavirus type 2,European bat 2 lyssavirus,57483,,
Foot and mouth disease,Foot-and-mouth disease virus,12110,,
Germiston,Bunyamwera orthobunyavirus,1933179,,
Ground squirrel hepatitis virus,Ground squirrel hepatitis virus,10406,,
H336,Banzi virus,38837,,
Hantaan virus,Hantaan orthohantavirus,1980471,,
Hendra virus,Hendra henipavirus,63330,,
Influenza A virus,Influenza A virus,11320,,
Influenza A Virus H9N2,Influenza A virus,11320,,
Influenza A Virus H9N3,Influenza A virus,11320,,
Irkut virus,Lyssavirus irkut,249583,,
Japanese B encephalitis virus,Japanese encephalitis virus,11072,,
Kaeng Khoi virus,Kaeng Khoi orthobunyavirus,1933275,,
Khujand virus,Lyssavirus khujand,237716,,
