PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Watanabe, Shumpei; Omatsu, Tsutomu; Miranda, Mary E. G.; Masangkay, Joseph S.; Ueda, Naoya; Endo, Maiko; Kato, Kentaro; Tohya, Yukinobu; Yoshikawa, Yasuhiro; Akashi, Hiroomi								Epizootology and experimental infection of Yokose virus in bats								COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES				33	1			25	36		10.1016/j.cimid.2008.07.008				JAN 2010	2010	To reveal whether bats serve as an amplifying host for Yokose virus (YOKV), we conducted a serological survey and experimentally infected fruit bats with YOKV isolated from microbats in Japan. YOKV belongs to the Entebbe bat virus group of vector unknown group within the genus Flavivirus and family Flaviviridae. To detect antibodies against YOKV, we developed an enzyme-linked immunosorbent assay (ELISA) using biotinylated anti-bat IgG rabbit sera. Serological surveillance was conducted with samples collected in the Philippines and the sera supplied from Malaysia. One of the 36 samples from the Philippines (2.7%) and 5 of the 26 samples from Malaysia (19%) had detectable ELISA antibodies. In the experimental infections, no clinical signs of disease were observed. Moreover, no significant viral genome amplification was detected. These findings revealed that YOKV replicates poorly in the fruit bat, suggesting that fruit bats do not seem to serve as an amplifying host for YOKV. (C) 2008 Elsevier Ltd. All rights reserved.																					WOS:000273855200003	18789527	
C	Kuzmin, I. V.; Franka, R.; Rupprecht, C. E.						Dodet, B; Fooks, AR; Miller, T; Tordo, N		Experimental infection of big brown bats (Eptesicus fuscus) with West Caucasian bat virus (WCBV)								TOWARDS THE ELIMINATION OF RABIES IN EURASIA		Developments in Biologicals		131				327	337						2008	2008	Big brown bats (Eptesicus fuscus), either recently captured individuals or survivors from previous experimental infection with Irkut virus (IRKV), were inoculated with West Caucasian bat virus (WCBV), intramuscularly into the masseter (n=7) or neck (n=8) muscles, or orally (n=6). Three bats inoculated into the neck muscles developed rabies and died between days 10 and 18. Viral RNA was detected in a number of tissues but isolation was successful only from the brain. An oral swab of one of these bats was also PCR-positive, but the isolation attempt failed. Brains, salivary glands and swabs from the survivors (six months observation) were negative, as well as all blood pellets collected. Therefore, no suggestions for a carrier state or viremia were obtained. In four surviving bats inoculated in the masseter muscles, WCBV-neutralizing antibodies were detected up to the end of experiment. The absence of antibodies in the three rabid bats may be the result of shorter incubation periods. Bats infected orally neither died nor responded serologically. In the bats previously infected with IRKV, IRKV-neutralizing antibodies were detected as well, up to the end of observation (12 months after IRKV challenge), even if they were not boosted by WCBV inoculation.					Joint OIE/WHO/EU International Conference on Towards the Elimination of Rabies in EurasiaJoint OIE/WHO/EU International Conference on Towards the Elimination of Rabies in Eurasia	MAY 27-30, 2007MAY 27-30, 2007	World Org Anim Hlth; World Hlth Org; European UnionWorld Org Anim Hlth; World Hlth Org; European Union	Paris, FRANCEParis, FRANCE													WOS:000257140900035	18634495	
J	Almeida, RS; Domingues, HG; Coswig, LT; D'arce, RCF; de Carvalho, RF; Arns, CW								Detection of bovine respiratory syncytial virus in experimentally infected balb/c mice								VETERINARY RESEARCH				35	2			189	197		10.1051/vetres:2004003				MAR-APR 2004	2004	The present study used an RT-nested-PCR and an immunohistochemistry assay to detect bovine respiratory syncytial virus in tissues from experimentally infected balb/c mice. As a first step, Chicken Embryo Related (CER) cell monolayers infected with the BRSV-25-BR strain isolated in Brazil were used for antigen production. Then, the infected lung and tracheal tissues of female balb/c mice were collected on 3, 5, 7 and 10 days post-infection and submitted to both techniques. Primers specific to F and G genes that amplify fragments of 481 bp and 371 bp, respectively, were used. The BRSV detection was not successful in all of the animals tested. The genomic fragment of the G gene from the organs of some infected mice on all analyzed post-infection days was amplified. However, in the RT-nested-PCR corresponding to the F gene, it was not possible to observe any amplified fragment. This was probably due to the higher sensitivity of the developed technique to amplify the fragment corresponding to the G gene compared to the F gene. Moreover, only three of the lungs collected five days post-infection were positive by immunohistochemistry. To the author's knowledge, this is the first study reporting bovine respiratory syncytial virus detection in balb/c mice after experimental inoculation.																					WOS:000221761500003	15099495	
J	Matos, Gabriel Costa; Ferreira, Milene Silveira; Martins Filho, Arnaldo Jorge; Amador Neto, Orlando Pereira; Campos, Valter Miranda; Gomes de Lima, Maria de Lourdes; Pinheiro Rodrigues, Jessica Cecilia; da Silva Ribeiro, Ana Claudia; Oliveira Freitas, Maria Nazare; Silva, Franko de Arruda; Chiang, Jannifer Oliveira; Neves Casseb, Livia Medeiros; de Sousa, Jorge Rodrigues; Simoes Quaresma, Juarez Antonio; Martins, Livia Caricio; da Costa Vasconcelos, Pedro Fernando; Carvalho, Valeria Lima								Experimental infection of golden hamsters with Guama virus (Peribunyaviridae, Orthobunyavirus)								MICROBIAL PATHOGENESIS				135						103627	10.1016/j.micpath.2019.103627				OCT 2019	2019	The Guama virus (GMAV) is a member of Peribunyaviridae family, Orthobunyavirus genus. Several strains of the virus were isolated in South and Central Americas from several hosts, such as humans, wild animals, including nonhuman primates, wild rodents and mosquitoes as well as mice used as sentinels. The virus is able to cause febrile disease in humans. Here we describe for the first time pathologic and biochemical findings in golden hamsters (Mesocricetus auratus) infected with the prototype GMAV. Blood and organs of infected and control animals were collected every 24 h after infection from the 1st to the 7th day post infection (dpi) and at 21 dpi when experiment was ended. The tissues were processed for histopathology and immunohistochemistry. The blood and serum were used to determine viremia and biochemical markers plus to detect anti-GMAV antibodies. The viremia was early detected already on the 1st dpi and it was no longer detected on the 3rd dpi. Total anti-GMAV antibodies were detected from the 6th dpi. Hepatic markers as ALT of infected animals were increased and showed statistically significant difference in comparison with control animals, indicating damage of the liver; indeed the liver was the most affected organ, but other organs presented lesions and positive GMAV immunostaining as brain, lung, liver, spleen, and kidney. Our findings indicate that golden hamsters are a good animal model for experimental infection of the GMAV.																					WOS:000487766800034	31326560	
R	Suu-Ire, Richard; Begeman, Lineke; Banyard, Ashley C; Breed, Andrew C; Drosten, Christian; Eggerbauer, Elisa; Freuling, Conrad M; Gibson, Louise; Goharriz, Hooman; Horton, Daniel L; Jennings, Daisy; Kuzmin, Ivan V; Marston, Denise; Ntiamoa-Baidu, Yaa; Sbarbaro, Silke Riesle; Selden, David; Wise, Emma L; Kuiken, Thijs; Fooks, Anthony R; Muller, Thomas; Wood, James LN; Cunningham, Andrew A								Distribution of Lagos bat viral RNA and antigen in tissues of experimentally infected bats.								Figshare											http://dx.doi.org/10.1371/journal.pntd.0006311.t002				2018-06-15	2018	Distribution of Lagos bat viral RNA and antigen in tissues of experimentally infected bats. Copyright: CC BY 4.0																					DRCI:DATA2018155013624119		
R	Suu-Ire, Richard; Begeman, Lineke; Banyard, Ashley C; Breed, Andrew C; Drosten, Christian; Eggerbauer, Elisa; Freuling, Conrad M; Gibson, Louise; Goharriz, Hooman; Horton, Daniel L; Jennings, Daisy; Kuzmin, Ivan V; Marston, Denise; Ntiamoa-Baidu, Yaa; Sbarbaro, Silke Riesle; Selden, David; Wise, Emma L; Kuiken, Thijs; Fooks, Anthony R; Muller, Thomas; Wood, James LN; Cunningham, Andrew A								Distribution of Lagos bat virus antigen in the brains of experimentally infected bats.								Figshare											http://dx.doi.org/10.1371/journal.pntd.0006311.t003				2018-06-15	2018	Distribution of Lagos bat virus antigen in the brains of experimentally infected bats. Copyright: CC BY 4.0																					DRCI:DATA2018155013624120		
J	Amman, Brian R.; Jones, Megan E. B.; Sealy, Tara K.; Uebelhoer, Luke S.; Schuh, Amy J.; Bird, Brian H.; Coleman-McCray, JoAnn D.; Martin, Brock E.; Nichol, Stuart T.; Towner, Jonathan S.								ORAL SHEDDING OF MARBURG VIRUS IN EXPERIMENTALLY INFECTED EGYPTIAN FRUIT BATS (ROUSETTUS AEGYPTIACUS)								JOURNAL OF WILDLIFE DISEASES				51	1			113	124		10.7589/2014-08-198				JAN 2015	2015	Marburg virus (Marburg marburgvirus; MARY) causes sporadic outbreaks of Marburg hemorrhagic fever (MHF) in Africa. The Egyptian fruit bat (Rousettus aegyptiacus) has been identified as a natural reservoir based most-recently on the repeated isolation of MARY directly from bats caught at two locations in southwestern Uganda where miners and tourists separately contracted MHF from 2007-08. Despite learning much about the ecology of MARY through extensive field investigations, there remained unanswered questions such as determining the primary routes of virus shedding and the severity of disease, if any, caused by MARY in infected bats. To answer these questions and others, we experimentally infected captive-bred R. aegyptiacus with MARY under high (biosafety level 4) containment. These experiments have shown infection profiles consistent with R. aegyptiacus being a bona fide natural reservoir host for MARY and demonstrated routes of viral shedding capable of infecting humans and other animals.																					WOS:000348001200012	25375951	
J	SHAH, KV; DANIEL, RW								ATTEMPTS AT EXPERIMENTAL INFECTION OF INDIAN FRUIT-BAT PTEROPUS GIGANTEUS WITH CHIKUNGUNYA AND DENGUE 2 VIRUSES AND ANTIBODY SURVEY OF BAT SERA FOR SOME VIRUSES								INDIAN JOURNAL OF MEDICAL RESEARCH				54	8			714	&						1966	1966																						WOS:A19668396800003		
J	Hughes, G. J.; Kuzmin, I. V.; Schmitz, A.; Blanton, J.; Manangan, J.; Murphy, S.; Rupprecht, C. E.								Experimental infection of big brown bats (Eptesicus fuscus) with Eurasian bat lyssaviruses Aravan, Khujand, and Irkut virus								ARCHIVES OF VIROLOGY				151	10			2021	2035		10.1007/s00705-005-0785-0				OCT 2006	2006	Here we describe the results of experimental infections of captive big brown bats (Eptesicus fuscus) with three newly isolated bat lyssaviruses from Eurasia (Aravan, Khujand, and Irkut viruses). Infection of E. fuscus was moderate (total, 55-75%). There was no evidence of transmission to in-contact cage mates. Incubation periods for Irkut virus infection were significantly shorter (p < 0.05) than for either Aravan or Khujand virus infections. In turn, quantification of viral RNA by TaqMan PCR suggests that the dynamics of Irkut virus infection may differ from those of Aravan/Khujand virus infection. Although infectious virus and viral RNA were detected in the brain of every rabid animal, dissemination to non-neuronal tissues was limited. Levels of viral RNA in brain of Aravan/Khujand virus-infected bats was significantly correlated with the number of other tissues positive by TaqMan PCR (p < 0.05), whereas no such relationship was observed for Irkut virus infection (where viral RNA was consistently detected in all tissues other than kidney). Infectious virus was isolated sporadically from salivary glands, and both infectious virus and viral RNA were obtained from oral swabs. The detection of viral RNA in oral swabs suggests that viral shedding in saliva occurred < 5 days before the onset of clinical disease.																					WOS:000240723300010	16705370	
J	Spilki, Fernando Rosado; Almeida, Renata Servan; Ferreira, Helena Lage; Gameiro, Jacy; Verinaud, Liana; Arns, Clarice Weis								Effects of experimental inoculation of bovine respiratory syncytial virus in different inbred mice lineages: Establishment of a murine model for BRSV infection								VETERINARY MICROBIOLOGY				118	3-4			161	168		10.1016/j.vetmic.2006.07.011				DEC 20 2006	2006	Bovine respiratory syncytial virus (BRSV), a member of the subfamily Pneumovirinae, family Paramyxoviridae, is a major cause of respiratory disorders in young cattle. A number of studies were conducted to validate a reliable animal model for the infection, since BRSV inoculation on the natural host is costly and often unsuccessful. Unfortunately, after inoculation of BRSV in Balb/C mice, viral replication may be detected; however, evident pathological alterations are absent on the experimentally infected animals. In order to establish a mice model that could be used further for preliminary studies of pathological and immunological aspects of BRSV infection, three mice inbred lineages (Balb/C, A/J and C57BL6), possessing different genetic backgrounds, were tested about its susceptibility to the inoculation with BRSV. Animals were inoculated through the nasal and ocular routes and were observed after inoculation. At 7 days post-inoculation (dpi) animals were necropsied and virological (virus isolation and viral nucleic acid amplification) as well as histopathological examinations were performed. A/J and C57BL6 showed interstitial pneumonia, when compared to the Balb/C group. These findings shows that mice may constitute a suitable model for the study of BRSV infections, depending on the mice strain used for experimental inoculations. (c) 2006 Elsevier B.V. All rights reserved.																					WOS:000242792700001	16959444	
