PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Hood, Simon P.; Mee, Edward T.; Perkins, Hannah; Bowen, Ori; Dale, Jessica M.; Almond, Neil M.; Karayiannis, Peter; Bright, Helen; Berry, Neil J.; Rose, Nicola J.								Changes in immune cell populations in the periphery and liver of GBV-B-infected and convalescent tamarins (Saguinus labiatus)								VIRUS RESEARCH				179				93	101		10.1016/j.virusres.2013.11.006				JAN 22 2014	2014	Flaviviruses related to hepatitis C virus (HCV) in suitable animal models may provide further insight into the role that cellular immunity contributes to spontaneous clearance of HCV. We characterised changes in lymphocyte populations in tamarins with an acute GBV-B infection, a hepatitis virus of the flaviviridae. Major immune cell populations were monitored in peripheral and intra-hepatic lymphocytes at high viraemia or following a period when peripheral virus was no longer detected. Limited changes in major lymphocyte populations were apparent during high viraemia; however, the proportions of CD3(+) lymphocytes decreased and CD20(+) lymphocytes increased once peripheral viraemia became undetectable. Intrahepatic lymphocyte populations increased at both time points post-infection. Distinct expression patterns of PD-1, a marker of T-cell activation, were observed on peripheral and hepatic lymphocytes; notably there was elevated PD-1 expression on hepatic CD4(+) T-cells during high viraemia, suggesting an activated phenotype, which decreased following clearance of peripheral viraemia. At times when peripheral vRNA was not detected, suggesting viral clearance, we were able to readily detect GBV-B RNA in the liver, indicative of long-term virus replication. This study is the first description of changes in lymphocyte populations during GBV-B infection of tamarins and provides a foundation for more detailed investigations of the responses that contribute to the control of GBV-B infection. Crown Copyright (C) 2013 Published by Elsevier B.V. All rights reserved.																					WOS:000331677400010	24246306	
B							Ceballos, G		MAMMALS OF MEXICO PREFACE								MAMMALS OF MEXICO								XI	+						2014	2014																						WOS:000362279400001		
J	Di Sabatino, Daria; Bruno, Rossana; Sauro, Francesca; Danzetta, Maria Luisa; Cito, Francesca; Iannetti, Simona; Narcisi, Valeria; De Massis, Fabrizio; Calistri, Paolo								Epidemiology of West Nile Disease in Europe and in the Mediterranean Basin from 2009 to 2013								BIOMED RESEARCH INTERNATIONAL				2014						907852	10.1155/2014/907852				2014	2014	West Nile virus (WNV) transmission has been confirmed in the last four years in Europe and in the Mediterranean Basin. An increasing concern towards West Nile disease (WND) has been observed due to the high number of human and animal cases reported in these areas confirming the importance of this zoonosis. Anew epidemiological scenario is currently emerging: although new introductions of the virus from abroad are always possible, confirming the epidemiological role played by migratory birds, the infection endemisation in some European territories today is a reality supported by the constant reoccurrence of the same strains across years in the same geographical areas. Despite the WND reoccurrence in the Old World, the overwintering mechanisms are not well known, and the role of local resident birds or mosquitoes in this context is poorly understood. A recent new epidemiological scenario is the spread of lineage 2 strain across European and Mediterranean countries in regions where lineage 1 strain is still circulating creating favourable conditions for genetic reassortments and emergence of new strains. This paper summarizes the main epidemiological findings on WNV occurrence in Europe and in the Mediterranean Basin from 2009 to 2013, considering potential future spread patterns.																					WOS:000346015100001	25302311	
B	Escaffre, Olivier; Borisevich, Viktoriya; Rockx, Barry						Singh, SK		Henipaviruses Emerging Zoonotic Respiratory Viral Infections								HUMAN RESPIRATORY VIRAL INFECTIONS								629	642			10.1201/b16778			2014	2014																						WOS:000354743500034		
B	Freuling, Conrad; Vos, Ad; Johnson, Nicholas; Muehle, Ralf-Udo; Mueller, Thomas						Johnson, N		Rabies Animal Reservoirs of an Ancient Disease								ROLE OF ANIMALS IN EMERGING VIRAL DISEASES								63	87		10.1016/B978-0-12-405191-1.00004-1				2014	2014																						WOS:000325329500005		
B	Grandadam, Marc						Liu, D		Rift Valley Fever Virus								MANUAL OF SECURITY SENSITIVE MICROBES AND TOXINS								201	214			10.1201/b16752			2014	2014																						WOS:000363061700019		
S	Hubalek, Zdenek; Rudolf, Ivo; Nowotny, Norbert						Maramorosch, K; Murphy, FA		Arboviruses Pathogenic for Domestic and Wild Animals								ADVANCES IN VIRUS RESEARCH, VOL 89		Advances in Virus Research		89				201	275		10.1016/B978-0-12-800172-1.00005-7				2014	2014	The objective of this chapter is to provide an updated and concise systematic review on taxonomy, history, arthropod vectors, vertebrate hosts, animal disease, and geographic distribution of all arboviruses known to date to cause disease in homeotherm (endotherm) vertebrates, except those affecting exclusively man. Fifty arboviruses pathogenic for animals have been documented worldwide, belonging to seven families: Togaviridae (mosquito-borne Eastern, Western, and Venezuelan equine encephalilitis viruses; Sindbis, Middelburg, Getah, and Semliki Forest viruses), Flaviviridae (mosquito-borne yellow fever, Japanese encephalitis, Murray Valley encephalitis, West Nile, Usutu, Israel turkey meningoencephalitis, Tembusu and Wesselsbron viruses; tick-borne encephalitis, louping ill, Omsk hemorrhagic fever, Kyasanur Forest disease, and Tyuleniy viruses), Bunyaviridae (tick-borne Nairobi sheep disease, Soldado, and Bhanja viruses; mosquito-borne Rift Valley fever, La Crosse, Snowshoe hare, and Cache Valley viruses; biting midges-borne Main Drain, Akabane, Aino, Shuni, and Schmallenberg viruses), Reoviridae (biting midges-borne African horse sickness, Kasba, bluetongue, epizootic hemorrhagic disease of deer, lbaraki, equine encephalosis, Peruvian horse sickness, and Yunnan viruses), Rhabdoviridae (sandfly/mosquito-borne bovine ephemeral fever, vesicular stomatitis-Indiana, vesicular stomatitis-New Jersey, vesicular stomatitis-Alagoas, and Coccal viruses), Orthomyxoviridae (tick-borne Thogoto virus), and Asfarviridae (tick-borne African swine fever virus). They are transmitted to animals by five groups of hematophagous arthropods of the subphyllum Chelicerata (order Acarina, families lxodidae and Argasidae ticks) or members of the class Insecta: mosquitoes (family Culicidae); biting midges (family Ceratopogonidae); sandflies (subfamily Phlebotominae); and cimicid bugs (family Cimicidae). Arboviral diseases in endotherm animals may therefore be classified as: tick-borne (louping ill and tick-borne encephalitis, Omsk hemorrhagic fever, Kyasanur Forest disease, Tyuleniy fever, Nairobi sheep disease, Soldado fever, Bhanja fever, Thogoto fever, African swine fever), mosquito-borne (Eastern, Western, and Venezuelan equine encephalomyelitides, Highlands J disease, Getah disease, Semliki Forest disease, yellow fever, Japanese encephalitis, Murray Valley encephalitis, West Nile encephalitis, Usutu disease, Israel turkey meningoencephalitis, Tembusu disease/duck egg-drop syndrome, Wesselsbron disease, La Crosse encephalitis, Snowshoe hare encephalitis, Cache Valley disease, Main Drain disease, Rift Valley fever, Peruvian horse sickness, Yunnan disease), sandfly-borne (vesicular stomatitis Indiana, New Jersey, and Alagoas, Cocal disease), midge-borne (Akabane disease, Aino disease, Schmallenberg disease, Shuni disease, African horse sickness, Kasba disease, bluetongue, epizootic hemorrhagic disease of deer, lbaraki disease, equine encephalosis, bovine ephemeral fever, Kotonkan disease), and cimicid-borne (Buggy Creek disease). Animals infected with these arboviruses regularly develop a febrile disease accompanied by various nonspecific symptoms; however, additional severe syndromes may occur: neurological diseases (meningitis, encephalitis, encephalomyelitis); hemorrhagic symptoms; abortions and congenital disorders; or vesicular stomatitis.Certain arboviral diseases cause significant economic losses in domestic animals for example, Eastern, Western and Venezuelan equine encephalitides, West Nile encephalitis, Nairobi sheep disease, Rift Valley fever, Akabane fever, Schmallenberg disease (emerged recently in Europe), African horse sickness, bluetongue, vesicular stomatitis, and African swine fever; all of these (except for Akabane and Schmallenberg diseases) are notifiable to the World Organisation for Animal Health (OIE, 2012).																					WOS:000335807700005	24751197	
J	Isken, Olaf; Langerwisch, Ulrike; Schoenherr, Robert; Lamp, Benjamin; Schroeder, Kristin; Duden, Rainer; Ruemenapf, Tillmann H.; Tautz, Norbert								Functional Characterization of Bovine Viral Diarrhea Virus Nonstructural Protein 5A by Reverse Genetic Analysis and Live Cell Imaging								JOURNAL OF VIROLOGY				88	1			82	98		10.1128/JVI.01957-13				JAN 2014	2014	Nonstructural protein 5A (NS5A) of bovine viral diarrhea virus (BVDV) is a hydrophilic phosphoprotein with RNA binding activity and a critical component of the viral replicase. In silico analysis suggests that NS5A encompasses three domains interconnected by two low-complexity sequences (LCSs). While domain I harbors two functional determinants, an N-terminal amphipathic helix important for membrane association, and a Zn-binding site essential for RNA replication, the structure and function of the C-terminal half of NS5A are still ill defined. In this study, we introduced a panel of 10 amino acid deletions covering the C-terminal half of NS5A. In the context of a highly efficient monocistronic replicon, deletions in LCS I and the N-terminal part of domain II, as well as in domain III, were tolerated with regard to RNA replication. When introduced into a bicistronic replicon, only deletions in LCS I and the N-terminal part of domain II were tolerated. In the context of the viral full-length genome, these mutations allowed residual virion morphogenesis. Based on these data, a functional monocistronic BVDV replicon coding for an NS5A variant with an insertion of the fluorescent protein mCherry was constructed. Live cell imaging demonstrated that a fraction of NS5A-mCherry localizes to the surface of lipid droplets. Taken together, this study provides novel insights into the functions of BVDV NS5A. Moreover, we established the first pestiviral replicon expressing fluorescent NS5A-mCherry to directly visualize functional viral replication complexes by live cell imaging.																					WOS:000329194600008	24131714	
J	Jackowiak, Paulina; Kuls, Karolina; Budzko, Lucyna; Mania, Anna; Figlerowicz, Magdalena; Figlerowicz, Marek								Phylogeny and molecular evolution of the hepatitis C virus								INFECTION GENETICS AND EVOLUTION				21				67	82		10.1016/j.meegid.2013.10.021				JAN 2014	2014	The hepatitis C virus (HCV) is a globally prevalent human pathogen that causes persistent liver infections in most infected individuals. HCV is classified into seven phylogenetically distinct genotypes, which have different geographical distributions and levels of genetic diversity. Some of these genotypes are endemic and highly divergent, whereas others disseminate rapidly on an epidemic scale but display lower variability. HCV phylogeny has an important impact on disease epidemiology and clinical practice because the viral genotype may determine the pathogenesis and severity of the resultant chronic liver disease. In addition, there is a clear association between the HCV genotype and its susceptibility to antiviral treatment. Similarly to other RNA viruses, in a single host, HCV exists as a combination of related but genetically different variants. The whole formation is the actual target of selection exerted by a host organism and antiviral therapeutics. The genetic structure of the viral population is largely shaped by mutations that are constantly introduced during an error-prone replication. However, it appears that genetic recombination may also contribute to this process. This heterogeneous collection of variants has a significant ability to evolve towards the fitness optimum. Interestingly, negative selection, which restricts diversity, emerges as an essential force that drives HCV evolution. It is becoming clear that HCV evolves to become stably adapted to the host environment. In this article we review the HCV phylogeny and molecular evolution in the context of host-virus interactions. (C) 2013 Elsevier B.V. All rights reserved.																					WOS:000332273800007	24200590	
B	Kock, Richard; Kock, Michael; de Garine-Wichatitsky, Michel; Chardonnet, Philippe; Caron, Alexandre						Melletti, M; Burton, J		Livestock and buffalo (Syncerus caffer) interfaces in Africa: ecology of disease transmission and implications for conservation and development								ECOLOGY, EVOLUTION AND BEHAVIOUR OF WILD CATTLE: IMPLICATIONS FOR CONSERVATION								431	445						2014	2014																						WOS:000357109900028		
