PaperID,Individual_ID_reported,Virus_reported,Virus_strain_isolate,Host_reported,Host_order,Sex,Inoculation_route,Dose_raw,Dose_amount,Dose_unit,Duration_of_observation,Susceptible_YN,ClinicalDisease,severity_reported,Severity_note,Histopathology,Organ_tissue_damaged,Mortality_YN,Mortality_reason,Mortality_note,Behaviour,Physical_symptoms,Notes
1,1,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,2,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,3,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,4,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,5,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,6,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,7,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,8,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
1,9,Yokose virus,Oita-36,Rousettus leschenaulti,Chiroptera,NA,Intraperitoneal,1 mL containing 10^7 mean tissue culture infective dose TCID50/mL,10^7,Mean_TCID50,35 days,Y,N,none,,none,none,NA,,,none,none,
2,414,West Caucasian bat virus,,Eptesicus fuscus,Chiroptera,F,Intramuscular (masseter),5.7 log10 50% mouse intracerbral lethal doses,10^5.7,MICLD50,6 months,Y,N,NA,,none,none,N,,,none,none,
