UniversalName,SppName_ICTV_MSL2018b,Reservoir,Vector.borne,Vector,Reference_Reservoir,Reference_Vector
Acara orthobunyavirus,NA,NA,1,mosquito,NA,﻿Plyusnin2011
Achimota rubulavirus 1,Achimota pararubulavirus 1,Pterobat,0,NA,Babayan2018,NA
Achimota rubulavirus 2,Achimota pararubulavirus 2,Pterobat,0,NA,Babayan2018,NA
Adelaide River ephemerovirus,Adelaide River ephemerovirus,NA,NA,NA,NA,NA
Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A,Human,0,NA,Cotmore2014; Lukashov2001,NA
Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,Artiodactyl,0,NA,Schmidt2004,NA
Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,Human,0,NA,Schmidt2004; Lukashov2001,NA
Aedes flavivirus,NA,Insect,0,mosquito,Babayan2018,Babayan2018
Aedes pseudoscutellaris reovirus,NA,Insect,0,mosquito,﻿Attoui2005,﻿Attoui2005
African green monkey polyomavirus,NA,NonHumanPrimate,0,NA,﻿Knipe2013,NA
African green monkey simian foamy virus,Grivet simian foamy virus,NonHumanPrimate,0,NA,Knipe2013,NA
African horse sickness virus,African horse sickness virus,Perissodactyla,1,midge,Mellor2004,Mellor2004
African pouched rat arterivirus,NA,Orphan,NA,NA,NA,NA
African swine fever virus,African swine fever virus,Artiodactyl,1,tick,Costard2013,Costard2013
Aguacate virus,NA,Orphan,1,sandfly,Babayan2018,Babayan2018
Aichivirus A,Aichivirus A,Carnivore,0,NA,Babayan2018,NA
Aichivirus A,Aichivirus A,Human,0,NA,﻿Khamrin2014,NA
Aichivirus B,NA,Artiodactyl,0,NA,﻿Jeoung2011; ﻿Khamrin2014,NA
Aichivirus C,NA,Artiodactyl,0,NA,﻿Khamrin2014,NA
Aichivirus D,NA,Orphan,0,NA,﻿Otomaru2016,NA
Aichivirus E,NA,Orphan,0,NA,﻿Pankovics2016,NA
Aichivirus F,NA,Orphan,0,NA,﻿Li2010a,NA
Akabane orthobunyavirus,Akabane orthobunyavirus,Artiodactyl,1,midge,Babayan2018,Babayan2018
Alagoas vesiculovirus,Alagoas vesiculovirus,Artiodactyl,1,sandfly,Babayan2018,Babayan2018
Alajuela orthobunyavirus,NA,NA,1,mosquito,NA,﻿Plyusnin2011
Alcelaphine gammaherpesvirus 1,Alcelaphine gammaherpesvirus 1,Artiodactyl,0,NA,Knipe2013; Heuschele1984; OToole2014,NA
Alcelaphine gammaherpesvirus 2,Alcelaphine gammaherpesvirus 2,Artiodactyl,0,NA,OToole2014,NA
Alethinophid 1 reptarenavirus,Golden reptarenavirus,Reptile,0,NA,Babayan2018,NA
Alethinophid 2 reptarenavirus,California reptarenavirus,Reptile,0,NA,Babayan2018,NA
Alethinophid 3 reptarenavirus,Rotterdam reptarenavirus,Reptile,0,NA,Babayan2018,NA
Alfalfa dwarf cytorhabdovirus,NA,Plant,NA,NA,NA,NA
Allpahuayo mammarenavirus,Allpahuayo mammarenavirus,Rodent,0,NA,Babayan2018,NA
Almpiwar sripuvirus,Almpiwar sripuvirus,Reptile,1,mosquito,Babayan2018,Babayan2018
Alphacoronavirus 1,Alphacoronavirus 1,Carnivore,0,NA,Babayan2018,NA
Alphacoronavirus 2,NA,Carnivore,0,NA,Babayan2018,NA
Alphapapillomavirus 1,Alphapapillomavirus 1,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 10,Alphapapillomavirus 10,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 11,Alphapapillomavirus 11,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 12,Alphapapillomavirus 12,NonHumanPrimate,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 13,Alphapapillomavirus 13,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 14,Alphapapillomavirus 14,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 2,Alphapapillomavirus 2,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 3,Alphapapillomavirus 3,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 4,Alphapapillomavirus 4,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 5,Alphapapillomavirus 5,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 6,Alphapapillomavirus 6,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 7,Alphapapillomavirus 7,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 8,Alphapapillomavirus 8,Human,0,NA,Knipe2013; Bernard2010,NA
Alphapapillomavirus 9,Alphapapillomavirus 9,Human,0,NA,Knipe2013; Bernard2010,NA
Amaparí mammarenavirus,Serra do Navio mammarenavirus,Rodent,0,NA,Babayan2018,NA
American bat vesiculovirus,American bat vesiculovirus,Vespbat,?,unknown,Babayan2018,Babayan2018
Amga orthohantavirus,NA,Orphan,NA,NA,﻿Yanagihara2015,NA
Ampivirus A,NA,Orphan,NA,NA,﻿Reuter2015,NA
Andes orthohantavirus,Andes orthohantavirus,Rodent,0,NA,Babayan2018,NA
Anguillid perhabdovirus,Anguillid perhabdovirus,Fish,0,NA,Babayan2018,NA
Anopheles A orthobunyavirus,Anopheles A orthobunyavirus,NA,1,mosquito,NA,Shapshak2015; shchetinin2015
Anopheles B orthobunyavirus,Anopheles B orthobunyavirus,NA,1,mosquito,NA,Shapshak2015; desouzalopes1974
Apoi virus,Apoi virus,Rodent,0,NA,Babayan2018,NA
Aquamavirus A,Aquamavirus A,Carnivore,0,NA,Babayan2018,NA
Aquareovirus A,NA,Fish,0,NA,﻿Lupiani1995,NA
Aquareovirus B,NA,Fish,0,NA,﻿Lupiani1995,NA
Aquareovirus C,NA,Fish,0,NA,﻿Lupiani1995,NA
Aquareovirus D,NA,Fish,0,NA,﻿Lupiani1995,NA
Aquareovirus E,NA,Fish,0,NA,﻿Lupiani1995,NA
Aquareovirus F,NA,Fish,0,NA,﻿Lupiani1995,NA
Aquareovirus G,NA,Fish,0,NA,﻿Lupiani1995,NA
Araguari virus,NA,Orphan,?,unknown,lvov2015a,lvov2015a
Aravan lyssavirus,Aravan lyssavirus,Vespbat,0,NA,Babayan2018,NA
Arboretum almendravirus,Arboretum almendravirus,Orphan,1,mosquito,Babayan2018,Babayan2018
Arenavirus H0030026,NA,Rodent,0,NA,Babayan2018,NA
Aroa virus,Aroa virus,Rodent,1,unknown,Babayan2018,Babayan2018
Arumowot virus,NA,Rodent,1,mosquito,Babayan2018,Babayan2018
Asama orthohantavirus,NA,Orphan,NA,NA,﻿Arai2008,NA
