PaperID,Virus_reported,Host_reported,Host_order,Susceptible_primary_YN,PathologyReported_YN,IndividualData_YN
1,Yokose virus,Rousettus leschenaulti,Chiroptera,Y,Y,Y
2,West Caucasian bat virus,Eptesicus fuscus,Chiroptera,Y,Y,Y
3,Lagos bat virus,Eidolon helvum,Chiroptera,Y,Y,Y
4,Marburg virus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
5,Chikungunya virus,Pteropus giganteus,Chiroptera,Y,Y,Y
5,Dengue virus,Pteropus giganteus,Chiroptera,Y,Y,Y
6,Aravan virus,Eptesicus fuscus,Chiroptera,Y,Y,Y
6,Khujand virus,Eptesicus fuscus,Chiroptera,Y,Y,Y
6,Irkut virus,Eptesicus fuscus,Chiroptera,Y,Y,Y
8,Rabies virus,Desmodus rotundus,Chiroptera,Y,Y,Y
8,Marburg virus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
8,Ebola virus variant Mayinga,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
8,Sudan ebolavirus variant Gulu,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
8,Bundibugyo ebolavirus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
8,Taï Forest ebolavirus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
8,Reston ebolavirus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
9,Rabies virus,Antrozous pallidus pallidus,Chiroptera,Y,Y,Y
10,Rabies virus,Artibeus intermedius,Chiroptera,Y,Y,Y
12,Monkeypox virus,Cynomys ludovicianus,Rodentia,Y,Y,Y
15,Kaeng Khoi virus,Chaerephon plicatus,Chiroptera,Y,Y,N
18,Ebola virus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
19,Japanese B encephalitis virus,Tadarida brasiliensis mexicana,Chiroptera,Y,Y,Y
19,Japanese B encephalitis virus,Myotis lucifugus lucifugus,Chiroptera,Y,Y,Y
19,Japanese B encephalitis virus,Eptesicus fuscus fuscus,Chiroptera,Y,Y,Y
19,Saint Louis encephalitis virus,Tadarida brasiliensis mexicana,Chiroptera,Y,Y,Y
19,Saint Louis encephalitis virus,Myotis lucifugus lucifugus,Chiroptera,Y,Y,Y
20,Rabies virus,Tadarida mexicana,Chiroptera,Y,Y,N
20,Rabies virus,Myotis lucifugus,Chiroptera,Y,Y,N
21,Rabies virus,Myotis lucifugus,Chiroptera,Y,Y,Y
23,Colorado tick fever virus,Citellus columbianus columbianus,Rodentia,Y,Y,Y
23,Colorado tick fever virus,Citellus lateralis tescorum,Rodentia,Y,Y,Y
23,Colorado tick fever virus,Eutamias amoenus,Rodentia,Y,Y,Y
23,Colorado tick fever virus,Peromyscus maniculatus,Rodentia,Y,Y,Y
24,Marburg virus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
25,Dengue virus,Artibeus intermedius,Chiroptera,Y,Y,Y
25,Dengue virus,Artibeus jamaicensis,Chiroptera,Y,Y,Y
31,Rabies virus,Eptesicus fuscus,Chiroptera,Y,Y,Y
32,Rabies virus,Pteropus vampyrus,Chiroptera,Y,Y,N
32,Rabies virus,Phyllorina sp.,Chiroptera,NA,Y,N
32,Rabies virus,Rhinolophus sp.,Chiroptera,NA,Y,N
32,Rabies virus,Vesperugo sp.,Chiroptera,NA,Y,N
33,Tacaribe virus,Carollia perspicillata,Chiroptera,Y,Y,Y
33,Tacaribe virus,Artibeus jamaicensis,Chiroptera,Y,Y,Y
34,Rabies virus,Tadarida mexicana,Chiroptera,Y,Y,N
34,Rabies virus,Myotis lucifugus,Chiroptera,Y,Y,N
35,Cocal virus,Myotis lucifugus lucifugus,Chiroptera,Y,Y,N
38,Tick-borne encephalitis virus,Myotis myotis,Chiroptera,Y,Y,Y
38,Tick-borne encephalitis virus,Barbastella barbastellus,Chiroptera,Y,Y,Y
38,Tick-borne encephalitis virus,Plecotus auritus,Chiroptera,Y,Y,Y
39,Tick-borne encephalitis virus,Glis glis,Rodentia,Y,Y,Y
40,Tacaribe virus,Artibeus jamaicensis,Chiroptera,Y,Y,Y
42,Kyasanur Forest Disease Virus,Cynopterus sphinx,Chiroptera,Y,Y,Y
44,Rabies virus,Tadarida brasiliensis mexicana,Chiroptera,Y,Y,Y
46,Rabies virus,Tadarida b. mexicana,Chiroptera,Y,Y,N
47,Rabies virus,Tadarida brasiliensis mexicana,Chiroptera,Y,Y,N
47,Rabies virus,Myotis lucifugus lucifugus,Chiroptera,Y,Y,N
50,Marburg virus,Rousettus aegyptiacus,Chiroptera,Y,N,Y
52,Kyasanur Forest Disease Virus,Petaurista petaurista philippensis,Rodentia,Y,Y,Y
53,Nipah virus,Pteropus poliocephalus,Chiroptera,Y,Y,Y
55,Lagos bat virus,Eidolon helvum,Chiroptera,Y,Y,Y
56,Venezuelan equine encephalitis,Proechimys semispinosus,Rodentia,Y,Y,Y
56,Venezuelan equine encephalitis,Sigmodon hispidus,Rodentia,Y,Y,Y
56,Venezuelan equine encephalitis,Zygodontomys microtinus,Rodentia,Y,Y,Y
56,Venezuelan equine encephalitis,Oryzomys capito,Rodentia,Y,Y,Y
58,Ground squirrel hepatitis virus,Spermophilus beecheyi,Rodentia,Y,N,N
58,Ground squirrel hepatitis virus,Spermophilus lateralis,Rodentia,N,N,N
58,Ground squirrel hepatitis virus,Eutamias spp.,Rodentia,N,Y,N
60,Colorado tick fever virus,Erethizon dorsatum,Rodentia,Y,Y,Y
61,Japanese encephalitis virus,Cynopterus sphinx,Chiroptera,Y,N,N
63,Rabies virus,Eptesicus fuscus,Chiroptera,Y,Y,Y
64,Tick-borne encephalitis virus,Myodes rutilus Pallas,Rodentia,Y,N,N
65,Rabies virus,Gerbillus,Rodentia,Y,Y,N
66,Rabies virus,Desmodus rotundus,Chiroptera,Y,Y,Y
68,Ross river virus,Pteropus poliocephalus,Chiroptera,Y,N,Y
70,Marburg virus,Rousettus aegyptiacus,Chiroptera,Y,Y,Y
71,Kyasanur Forest Disease Virus,Hystrix indica,Rodentia,Y,Y,Y
75,Kyasanur Forest Disease Virus,Rousettus leschenaulti,Chiroptera,Y,Y,Y
77,Marburg virus,Rousettus aegyptiacus,Chiroptera,Y,N,Y
78,Monkeypox virus,Funisciurus anerythrus,Rodentia,Y,Y,Y
81,Hantaan virus,A. a. coreae,Rodentia,Y,Y,Y
81,Hantaan virus,A. a. jejuensis,Rodentia,Y,Y,Y
81,Hantaan virus,Callomys callosus,Rodentia,Y,Y,Y
81,Hantaan virus,Sigmodon hispidus,Rodentia,Y,Y,Y
81,Hantaan virus,Microtus montanus,Rodentia,Y,Y,Y
81,Hantaan virus,Apodemus speciosus,Rodentia,Y,Y,Y
81,Hantaan virus,Apodemus peninsulae,Rodentia,Y,Y,Y
81,Hantaan virus,A. a. ningpoensis,Rodentia,Y,Y,Y
83,TRVL 34053-1 virus,Oryzomys laticeps velutinus,Rodentia,Y,Y,Y
83,TRVL 34053-1 virus,Zygodontomys b. brevicauda,Rodentia,Y,Y,Y
84,Chikungunya virus,Aethomys chrysophilus,Rodentia,Y,Y,Y
84,Chikungunya virus,Mastomys natalensis,Rodentia,Y,Y,Y
84,Chikungunya virus,Saccostomus campestris,Rodentia,Y,Y,Y
84,Chikungunya virus,Tatera brantsi,Rodentia,Y,Y,Y
84,Germiston,Tatera brantsi,Rodentia,Y,Y,Y
84,H336,Aethomys chrysophilus,Rodentia,Y,Y,Y
84,H336,Lemniscomys griselda,Rodentia,Y,Y,Y
84,H336,Mastomys natalensis,Rodentia,Y,Y,Y
84,H336,Saccostomus campestris,Rodentia,Y,Y,Y
